"Period","Value"
"Jan-1968",17
"Feb-1968",18.6
"Mar-1968",17.4
"Apr-1968",20.6
"May-1968",20
"Jun-1968",23.2
"Jul-1968",21.2
"Aug-1968",23.1
"Sep-1968",22
"Oct-1968",23
"Nov-1968",18.4
"Dec-1968",21.6
"Jan-1969",19.7
"Feb-1969",23
"Mar-1969",21.1
"Apr-1969",20.9
"May-1969",22.8
"Jun-1969",23.5
"Jul-1969",25.4
"Aug-1969",22.3
"Sep-1969",24.5
"Oct-1969",28.4
"Nov-1969",26.4
"Dec-1969",23.4
"Jan-1970",25.2
"Feb-1970",24.5
"Mar-1970",25
"Apr-1970",24.4
"May-1970",22.9
"Jun-1970",25.8
"Jul-1970",28.5
"Aug-1970",28.8
"Sep-1970",31.2
"Oct-1970",25.7
"Nov-1970",25.7
"Dec-1970",27.8
"Jan-1971",22.3
"Feb-1971",24.1
"Mar-1971",28.8
"Apr-1971",32.3
"May-1971",30.3
"Jun-1971",30.8
"Jul-1971",36.7
"Aug-1971",43.1
"Sep-1971",38.2
"Oct-1971",43.5
"Nov-1971",34.2
"Dec-1971",40.9
"Jan-1972",32.8
"Feb-1972",35.8
"Mar-1972",34.1
"Apr-1972",34.6
"May-1972",39.4
"Jun-1972",41.1
"Jul-1972",34.9
"Aug-1972",42.9
"Sep-1972",46
"Oct-1972",43.6
"Nov-1972",36.6
"Dec-1972",40.6
"Jan-1973",33.7
"Feb-1973",34.6
"Mar-1973",42.9
"Apr-1973",36.2
"May-1973",39.5
"Jun-1973",40.1
"Jul-1973",39.5
"Aug-1973",35.9
"Sep-1973",44.8
"Oct-1973",40
"Nov-1973",33.6
"Dec-1973",37.7
"Jan-1974",28.7
"Feb-1974",28.7
"Mar-1974",26.7
"Apr-1974",26.5
"May-1974",31.7
"Jun-1974",31.3
"Jul-1974",28.1
"Aug-1974",32.9
"Sep-1974",32.5
"Oct-1974",30
"Nov-1974",31.5
"Dec-1974",34.7
"Jan-1975",21.7
"Feb-1975",21.1
"Mar-1975",20
"Apr-1975",19.8
"May-1975",21.5
"Jun-1975",21.7
"Jul-1975",22
"Aug-1975",28.6
"Sep-1975",26.8
"Oct-1975",26.8
"Nov-1975",29.5
"Dec-1975",27.3
"Jan-1976",22.4
"Feb-1976",22
"Mar-1976",23.4
"Apr-1976",25.6
"May-1976",29
"Jun-1976",30.9
"Jul-1976",28.6
"Aug-1976",27.1
"Sep-1976",26.8
"Oct-1976",33.6
"Nov-1976",32.9
"Dec-1976",36
"Jan-1977",31
"Feb-1977",32.2
"Mar-1977",33.8
"Apr-1977",33.6
"May-1977",33.5
"Jun-1977",41
"Jul-1977",38.1
"Aug-1977",39.2
"Sep-1977",41.2
"Oct-1977",40.1
"Nov-1977",40
"Dec-1977",40.6
"Jan-1978",37.4
"Feb-1978",32.3
"Mar-1978",37
"Apr-1978",37.8
"May-1978",41.2
"Jun-1978",50.5
"Jul-1978",43.5
"Aug-1978",51.8
"Sep-1978",46.4
"Oct-1978",46.4
"Nov-1978",46
"Dec-1978",46.9
"Jan-1979",34.4
"Feb-1979",34.5
"Mar-1979",40.3
"Apr-1979",42.5
"May-1979",42.2
"Jun-1979",45.2
"Jul-1979",38.7
"Aug-1979",40.6
"Sep-1979",48.1
"Oct-1979",44.3
"Nov-1979",45.1
"Dec-1979",50
"Jan-1980",35.4
"Feb-1980",31.8
"Mar-1980",35.7
"Apr-1980",31.9
"May-1980",33.9
"Jun-1980",30.5
"Jul-1980",31.5
"Aug-1980",34
"Sep-1980",28.8
"Oct-1980",31
"Nov-1980",30.4
"Dec-1980",31.2
"Jan-1981",22.1
"Feb-1981",25.3
"Mar-1981",24.7
"Apr-1981",28.2
"May-1981",23.5
"Jun-1981",25.9
"Jul-1981",27.4
"Aug-1981",26.9
"Sep-1981",23.2
"Oct-1981",24.3
"Nov-1981",19.6
"Dec-1981",23.2
"Jan-1982",17.3
"Feb-1982",15.1
"Mar-1982",17.5
"Apr-1982",16.4
"May-1982",14.5
"Jun-1982",18.4
"Jul-1982",17.2
"Aug-1982",17
"Sep-1982",14.5
"Oct-1982",17.9
"Nov-1982",19.2
"Dec-1982",18.1
"Jan-1983",17.9
"Feb-1983",16.5
"Mar-1983",20
"Apr-1983",19.7
"May-1983",21.8
"Jun-1983",26.2
"Jul-1983",27.4
"Aug-1983",31.4
"Sep-1983",31.6
"Oct-1983",32.1
"Nov-1983",28.8
"Dec-1983",31
"Jan-1984",26.9
"Feb-1984",28.2
"Mar-1984",28.4
"Apr-1984",31.2
"May-1984",37.4
"Jun-1984",38
"Jul-1984",35.9
"Aug-1984",32.8
"Sep-1984",33.8
"Oct-1984",39.2
"Nov-1984",28.6
"Dec-1984",35.9
